Date,Open,High,Low,Close,Volume,actual_returns,sma_fast,sma_slow,ssma,ema,dema,tema,trima,signal
2023-02-21,403.05999755859375,404.1600036621094,398.8200073242188,399.0899963378906,82655900,-0.0200609272499801,407.15250396728516,389.4335998535156,406.9161812976715,400.08263404428675,406.6201826426208,403.7196845383525,402.2609561873071,-1.0
2023-02-22,399.5199890136719,401.1300048828125,397.0199890136719,398.5400085449219,83742300,-0.0013781046831931043,403.2925033569336,389.71369995117186,405.98549543197987,400.0220497230223,403.54620149140015,400.22456441868997,403.16373405927493,-1.0
2023-02-23,401.55999755859375,402.2000122070313,396.25,400.6600036621094,96242400,0.005319403502116682,401.3875045776367,390.09239990234374,405.39377412180045,400.0471029660634,402.14180407894736,399.1881343374113,403.9792588787314,1.0
2023-02-24,395.4200134277344,397.25,393.6400146484375,396.3800048828125,108194400,-0.01068237093839386,398.6675033569336,390.4844000244141,404.39224420272234,399.90309947269867,399.64291815775715,396.62739970953953,404.72077141279055,-1.0
2023-02-27,399.8699951171875,401.2900085449219,396.75,397.7300109863281,80444700,0.0034058380515806785,398.32750701904297,390.79560028076173,403.6519960651792,399.81776888568913,398.39911683446326,395.8528809062622,405.3651543134525,1.0
2023-02-28,397.2300109863281,399.2799987792969,396.1499938964844,396.260009765625,96438600,-0.0036959776232566854,397.75750732421875,390.97850036621094,402.8306642517623,399.67807365021105,397.04711931417665,394.8527086619053,405.8676854828258,-1.0
2023-03-01,395.4100036621094,396.6900024414063,393.3800048828125,394.739990234375,99706800,-0.003835914535380569,396.27750396728516,391.1550003051758,401.9317004697611,399.4841896012204,395.6031494880011,393.674989115459,406.21361164987826,-1.0
2023-03-02,392.6799926757813,398.6900024414063,392.3299865722656,397.80999755859375,85127800,0.007777289862108905,396.63500213623047,391.4011001586914,401.4737334785938,399.4184588830117,395.7496850658225,394.619219266343,406.43907476354525,1.0
2023-03-03,399.7099914550781,404.4500122070313,399.0299987792969,404.1900024414063,90120000,0.016037819365946948,398.25,391.8151000976562,401.77554114173637,399.60578669017144,398.2226820931515,398.5117735232186,406.58771693853686,1.0
2023-03-06,405.0499877929688,407.4500122070313,404.010009765625,404.4700012207031,72795900,0.0006927404874081944,400.30249786376953,392.25960021972656,402.07492559549087,399.7967443593017,400.14489256511916,401.24118744028993,406.6425627720209,1.0
